Period,Geography,migration_qtr,total_pop
1990Q1,Alabama,-0.460310161,4042.382324
1990Q2,Alabama,1.849526882,4050.055
1990Q3,Alabama,4.474591,4060.205322
1990Q4,Alabama,6.54644,4072.283447
1991Q1,Alabama,7.832684517,4085.522461
1991Q2,Alabama,8.331155,4099.156
1991Q3,Alabama,8.244538,4112.6
1991Q4,Alabama,8.306743,4126.003418
1992Q1,Alabama,8.648024,4139.698
1992Q2,Alabama,9.266049,4154.014
1992Q3,Alabama,10.06107235,4169.129
1992Q4,Alabama,10.41128731,4184.598
1993Q1,Alabama,10.27714,4199.822266
1993Q2,Alabama,9.666308,4214.202
1993Q3,Alabama,8.593285,4227.278
1993Q4,Alabama,7.617913,4239.148438
1994Q1,Alabama,6.727775,4250.052734
1994Q2,Alabama,5.911226,4260.229
1994Q3,Alabama,5.30833149,4269.89
1994Q4,Alabama,4.81795,4279.148438
1995Q1,Alabama,4.57158,4288.089355
1995Q2,Alabama,4.580272,4296.8
1995Q3,Alabama,4.674426,4305.366
1995Q4,Alabama,4.857201,4313.878418
1996Q1,Alabama,4.949313641,4322.427
1996Q2,Alabama,4.942724,4331.102
1996Q3,Alabama,5.012079,4339.979492
1996Q4,Alabama,5.100083,4349.076
1997Q1,Alabama,5.234293,4358.394
1997Q2,Alabama,5.418473,4367.935
1997Q3,Alabama,5.548523,4377.644
1997Q4,Alabama,5.393351,4387.236
1998Q1,Alabama,4.923151493,4396.369
1998Q2,Alabama,4.139961,4404.701
1998Q3,Alabama,3.123746,4411.999
1998Q4,Alabama,2.308758736,4418.465
1999Q1,Alabama,1.818915,4424.408691
1999Q2,Alabama,1.655080795,4430.141
1999Q3,Alabama,1.723307,4435.894531
1999Q4,Alabama,1.71179,4441.589355
2000Q1,Alabama,1.521804452,4447.068359
2000Q2,Alabama,1.152422071,4452.173
2000Q3,Alabama,0.6564942,4456.776367
2000Q4,Alabama,0.153018072,4460.872
2001Q1,Alabama,-0.20264104,4464.483398
2001Q2,Alabama,-0.402245134,4467.634
2001Q3,Alabama,-0.517776132,4470.41
2001Q4,Alabama,-0.300705522,4473.146484
2002Q1,Alabama,0.258274674,4476.24
2002Q2,Alabama,1.153872728,4480.089
2002Q3,Alabama,2.326592684,4484.972656
2002Q4,Alabama,3.312539577,4490.704
2003Q1,Alabama,3.895219564,4496.978516
2003Q2,Alabama,4.067195,4503.491
2003Q3,Alabama,4.010688305,4510.013672
2003Q4,Alabama,4.033183,4516.625
2004Q1,Alabama,4.228300571,4523.478516
2004Q2,Alabama,4.596861362,4530.729
2004Q3,Alabama,5.433152,4538.844
2004Q4,Alabama,6.351511478,4547.905
2005Q1,Alabama,7.495261,4558.148438
2005Q2,Alabama,8.858465,4569.805
2005Q3,Alabama,26.56356,4599.218
2005Q4,Alabama,6.883929,4609.001
2006Q1,Alabama,6.810863,4618.965
2006Q2,Alabama,6.38862,4628.981
2006Q3,Alabama,7.798438,4640.872
2006Q4,Alabama,6.358578,4651.794
2007Q1,Alabama,5.727565,4662.278
2007Q2,Alabama,5.911236,4672.84
2007Q3,Alabama,6.543895,4683.925
2007Q4,Alabama,6.992365,4695.355
2008Q1,Alabama,7.215662,4706.871
2008Q2,Alabama,7.210189,4718.206
2008Q3,Alabama,7.013643,4729.172
2008Q4,Alabama,6.575346,4739.528
2009Q1,Alabama,5.946659,4749.156
2009Q2,Alabama,5.121707,4757.938
2009Q3,Alabama,4.679048,4766.266
2009Q4,Alabama,4.061799,4773.768
2010Q1,Alabama,3.256066,4780.264
2010Q2,Alabama,2.259798,4785.579
2010Q3,Alabama,1.19509,4789.646
2010Q4,Alabama,0.5139941,4792.85
2011Q1,Alabama,0.2018459,4795.686
2011Q2,Alabama,0.2490697,4798.649
2011Q3,Alabama,0.6714087,4802.114
2011Q4,Alabama,0.9848591,4805.972
2012Q1,Alabama,1.283101,4809.993
2012Q2,Alabama,1.575631,4813.946
2012Q3,Alabama,1.684021,4817.651
2012Q4,Alabama,1.808575,4821.126
2013Q1,Alabama,1.711897,4824.44
2013Q2,Alabama,1.372507,4827.66
2013Q3,Alabama,1.087776,4830.84
2013Q4,Alabama,0.8015221,4833.976
2014Q1,Alabama,0.6922328,4837.048
2014Q2,Alabama,0.7744695,4840.037
2014Q3,Alabama,0.8385471,4842.926
2014Q4,Alabama,0.8866499,4845.701
2015Q1,Alabama,0.8475494,4848.349
2015Q2,Alabama,0.7152537,4850.858
2015Q3,Alabama,0.5897893,4853.236
2015Q4,Alabama,0.5534257,4855.571
2016Q1,Alabama,0.6599388,4857.971
2016Q2,Alabama,0.9108462,4860.545
2016Q3,Alabama,1.269822,4863.401
2016Q4,Alabama,1.736345,4866.648
2017Q1,Alabama,2.312116,4870.394
2017Q2,Alabama,2.996716,4874.747
2017Q3,Alabama,3.409273,4879.508
2017Q4,Alabama,3.774739,4884.59
2018Q1,Alabama,4.057978,4889.91
2018Q2,Alabama,4.069901,4895.196
2018Q3,Alabama,4.071258,4900.438
2018Q4,Alabama,4.061313,4905.625
2019Q1,Alabama,4.055668,4910.761
2019Q2,Alabama,4.050112,4915.841
2019Q3,Alabama,4.049051,4920.87
2019Q4,Alabama,4.047799,4925.846
2020Q1,Alabama,4.046463,4930.767
2020Q2,Alabama,4.062932,4935.65
2020Q3,Alabama,4.143016,4940.559
1990Q1,Alaska,-0.9799401,550.9534
1990Q2,Alaska,-0.232200161,553.29
1990Q3,Alaska,0.7254247,556.573
1990Q4,Alaska,1.528463483,560.6481
1991Q1,Alaska,2.074514151,565.2699
1991Q2,Alaska,2.362737417,570.193
1991Q3,Alaska,2.41738081,575.1836
1991Q4,Alaska,2.284861565,580.0546
1992Q1,Alaska,2.009677172,584.6306
1992Q2,Alaska,1.593276381,588.736
1992Q3,Alaska,1.039967299,592.2343
1992Q4,Alaska,0.505106747,595.1445
1993Q1,Alaska,0.011310806,597.5244
1993Q2,Alaska,-0.4428743,599.432
1993Q3,Alaska,-0.8424065,600.9222
1993Q4,Alaska,-1.198811769,602.038147
1994Q1,Alaska,-1.502842,602.82
1994Q2,Alaska,-1.75379765,603.308
1994Q3,Alaska,-1.944806814,603.5624
1994Q4,Alaska,-1.995409,603.723938
1995Q1,Alaska,-1.889255,603.9535
1995Q2,Alaska,-1.626882315,604.412
1995Q3,Alaska,-1.253886342,605.2104492
1995Q4,Alaska,-0.9685667,606.2612
1996Q1,Alaska,-0.8449944,607.4265
1996Q2,Alaska,-0.8842438,608.569
1996Q3,Alaska,-1.016987443,609.5948486
1996Q4,Alaska,-1.067707419,610.5861
1997Q1,Alaska,-0.9700722,611.6686
1997Q2,Alaska,-0.7224804,612.968
1997Q3,Alaska,-0.394983053,614.5646
1997Q4,Alaska,-0.170009062,616.3561401
1998Q1,Alaska,-0.118415937,618.1946
1998Q2,Alaska,-0.24208568,619.932
1998Q3,Alaska,-0.484265536,621.449646
1998Q4,Alaska,-0.7284964,622.7453
1999Q1,Alaska,-0.9068179,623.8461
1999Q2,Alaska,-1.016501546,624.779
1999Q3,Alaska,-1.090310454,625.5802612
1999Q4,Alaska,-1.091181636,626.3230591
2000Q1,Alaska,-1.054475904,627.0898438
2000Q2,Alaska,-0.9821838,627.963
2000Q3,Alaska,-0.8343106,629.0179
2000Q4,Alaska,-0.6391893,630.3014526
2001Q1,Alaska,-0.3710577,631.8536
2001Q2,Alaska,-0.027498096,633.714
2001Q3,Alaska,0.313554466,635.8805
2001Q4,Alaska,0.4831783,638.1819458
2002Q1,Alaska,0.417377532,640.4052
2002Q2,Alaska,0.11445722,642.337
2002Q3,Alaska,-0.315489769,643.8505
2002Q4,Alaska,-0.5263511,645.1644
2003Q1,Alaska,-0.438801,646.5839
2003Q2,Alaska,-0.05321401,648.414
2003Q3,Alaska,0.5337221,650.8558
2003Q4,Alaska,0.9057171,653.6944
2004Q1,Alaska,0.9754153,656.6108
2004Q2,Alaska,0.7435572,659.286
2004Q3,Alaska,0.3211617,661.5297
2004Q4,Alaska,-0.015824458,663.4273
2005Q1,Alaska,-0.188709632,665.1694
2005Q2,Alaska,-0.200074121,666.946
2005Q3,Alaska,0.1249638,669.0929
2005Q4,Alaska,0.1360065,671.2959
2006Q1,Alaska,0.065365,673.4295
2006Q2,Alaska,-0.1499436,675.302
2006Q3,Alaska,-0.5605589,676.7183
2006Q4,Alaska,-0.7243265,677.9258
2007Q1,Alaska,-0.7869937,679.0715
2007Q2,Alaska,-0.7540789,680.3
2007Q3,Alaska,-0.591517,681.7408
2007Q4,Alaska,-0.4099825,683.4124
2008Q1,Alaska,-0.1994597,685.3168
2008Q2,Alaska,0.0405032,687.455
2008Q3,Alaska,0.2974294,689.8439
2008Q4,Alaska,0.5831273,692.5125
2009Q1,Alaska,0.9139767,695.5123
2009Q2,Alaska,1.289511,698.895
2009Q3,Alaska,1.875303,702.7609
2009Q4,Alaska,2.056331,706.7936
2010Q1,Alaska,1.893815,710.657
2010Q2,Alaska,1.387175,714.015
2010Q3,Alaska,0.6474663,716.6343
2010Q4,Alaska,0.0863713,718.6935
2011Q1,Alaska,-0.1704257,720.4745
2011Q2,Alaska,-0.121412,722.259
2011Q3,Alaska,0.1427607,724.2623
2011Q4,Alaska,0.357219,726.4349
2012Q1,Alaska,0.4312536,728.661
2012Q2,Alaska,0.3637666,730.825
2012Q3,Alaska,0.1836892,732.8144
2012Q4,Alaska,-0.0948718,734.5303
2013Q1,Alaska,-0.483053,735.8773
2013Q2,Alaska,-0.9817644,736.76
2013Q3,Alaska,-1.52789,737.13
2013Q4,Alaska,-1.933582,737.128
2014Q1,Alaska,-2.112792,736.9417
2014Q2,Alaska,-2.062735,736.759
2014Q3,Alaska,-1.853789,736.7389
2014Q4,Alaska,-1.60148,736.9254
2015Q1,Alaska,-1.34681,737.3337
2015Q2,Alaska,-1.090922,737.979
2015Q3,Alaska,-0.8468698,738.8499
2015Q4,Alaska,-0.7213807,739.8276
2016Q1,Alaska,-0.7471895,740.7668
2016Q2,Alaska,-0.9245601,741.522
2016Q3,Alaska,-1.247418,741.9479
2016Q4,Alaska,-1.715738,741.8989
2017Q1,Alaska,-2.329401,741.2297
2017Q2,Alaska,-3.088444,739.795
2017Q3,Alaska,-1.418896,740.0169
2017Q4,Alaska,-1.196007,740.4609
2018Q1,Alaska,-0.9735151,741.1274
2018Q2,Alaska,-0.7515328,742.0167
2018Q3,Alaska,-0.5588467,743.0999
2018Q4,Alaska,-0.5135463,744.2297
2019Q1,Alaska,-0.4541495,745.4202
2019Q2,Alaska,-0.3998183,746.6657
2019Q3,Alaska,-0.3253734,747.9866
2019Q4,Alaska,-0.3563024,749.2769
2020Q1,Alaska,-0.3882979,750.5357
2020Q2,Alaska,-0.3857618,751.7974
2020Q3,Alaska,-0.3944824,753.0507
1990Q1,Arizona,4.157404423,3666.770264
1990Q2,Arizona,6.827255,3684.097
1990Q3,Arizona,11.09597301,3705.674
1990Q4,Arizona,14.84277534,3730.98
1991Q1,Arizona,17.51168633,3758.964355
1991Q2,Arizona,19.1008,3788.576
1991Q3,Arizona,19.85021,3818.974365
1991Q4,Arizona,20.60004234,3850.16
1992Q1,Arizona,21.71516,3882.345
1992Q2,Arizona,23.20236,3915.74
1992Q3,Arizona,24.89505577,3950.553
1992Q4,Arizona,26.78097,3986.979492
1993Q1,Arizona,28.68844,4025.211
1993Q2,Arizona,30.60441,4065.44
1993Q3,Arizona,32.63193,4107.779
1993Q4,Arizona,34.45703506,4152.022461
1994Q1,Arizona,36.01155472,4197.887
1994Q2,Arizona,37.29688263,4245.089
1994Q3,Arizona,38.15687,4293.20166
1994Q4,Arizona,38.02323,4341.231
1995Q1,Arizona,36.74414444,4388.04248
1995Q2,Arizona,34.31928253,4432.499
1995Q3,Arizona,31.11650658,4473.823
1995Q4,Arizona,28.5652256,4512.665527
1996Q1,Arizona,27.00239563,4550.034668
1996Q2,Arizona,26.42715,4586.94
1996Q3,Arizona,26.6564846,4624.18457
1996Q4,Arizona,26.87229729,4661.754
1997Q1,Arizona,26.86599,4699.429
1997Q2,Arizona,26.63806,4736.99
1997Q3,Arizona,26.21845,4774.243652
1997Q4,Arizona,25.7066555,4811.097656
1998Q1,Arizona,25.23753738,4847.486
1998Q2,Arizona,24.81906319,4883.342
1998Q3,Arizona,24.39063454,4918.657
1998Q4,Arizona,24.18525,4953.654297
1999Q1,Arizona,24.07962608,4988.616
1999Q2,Arizona,24.06097412,5023.823
1999Q3,Arizona,24.13495636,5059.366
1999Q4,Arizona,23.54339409,5094.57959
2000Q1,Arizona,22.20643616,5128.605
2000Q2,Arizona,20.12907,5160.586
2000Q3,Arizona,17.54892159,5190.017578
2000Q4,Arizona,15.87247753,5217.805
2001Q1,Arizona,15.57169,5245.205566
2001Q2,Arizona,16.65462875,5273.477
2001Q3,Arizona,18.61425591,5303.498535
2001Q4,Arizona,19.94346619,5334.640625
2002Q1,Arizona,19.99482,5365.895508
2002Q2,Arizona,18.74902344,5396.255
2002Q3,Arizona,16.83897,5425.052
2002Q4,Arizona,15.62503433,5452.98
2003Q1,Arizona,15.73044491,5481.072
2003Q2,Arizona,17.17636681,5510.364
2003Q3,Arizona,19.5342,5541.766602
2003Q4,Arizona,22.31524277,5575.705
2004Q1,Arizona,25.0586319,5612.483
2004Q2,Arizona,27.74927,5652.404
2004Q3,Arizona,30.91732216,5695.941
2004Q4,Arizona,33.18722,5742.193359
2005Q1,Arizona,34.87339,5790.223
2005Q2,Arizona,35.9891,5839.077
2005Q3,Arizona,37.90963,5889.566
2005Q4,Arizona,36.86549,5938.726
2006Q1,Arizona,34.35355,5985.721
2006Q2,Arizona,29.75088,6029.141
2006Q3,Arizona,23.61633,6067.439
2006Q4,Arizona,19.49541,6102.625
2007Q1,Arizona,17.30178,6135.711
2007Q2,Arizona,17.07774,6167.681
2007Q3,Arizona,17.5732,6199.22
2007Q4,Arizona,17.01999,6229.363
2008Q1,Arizona,14.69197,6256.838
2008Q2,Arizona,10.56118,6280.362
2008Q3,Arizona,5.740045,6299.254
2008Q4,Arizona,2.176567,6314.751
2009Q1,Arizona,0.8460033,6328.752
2009Q2,Arizona,1.77172,6343.154
2009Q3,Arizona,3.641387,6358.571
2009Q4,Arizona,5.047086,6374.926
2010Q1,Arizona,5.585288,6391.357
2010Q2,Arizona,5.25274,6407.002
2010Q3,Arizona,4.379367,6421.326
2010Q4,Arizona,4.285648,6435.108
2011Q1,Arizona,5.069931,6449.46
2011Q2,Arizona,6.714055,6465.488
2011Q3,Arizona,9.08506,6483.922
2011Q4,Arizona,10.66574,6503.969
2012Q1,Arizona,11.16162,6524.456
2012Q2,Arizona,10.57658,6544.211
2012Q3,Arizona,9.187196,6562.431
2012Q4,Arizona,8.473249,6579.792
2013Q1,Arizona,8.689926,6597.341
2013Q2,Arizona,9.828629,6616.124
2013Q3,Arizona,11.73151,6636.904
2013Q4,Arizona,13.26916,6659.315
2014Q1,Arizona,14.25605,6682.708
2014Q2,Arizona,14.69927,6706.435
2014Q3,Arizona,14.6603,6730.012
2014Q4,Arizona,14.79396,6753.615
2015Q1,Arizona,15.46301,6777.584
2015Q2,Arizona,16.67973,6802.262
2015Q3,Arizona,18.13589,6827.891
2015Q4,Arizona,19.44532,6854.325
2016Q1,Arizona,20.22343,6881.323
2016Q2,Arizona,20.45736,6908.642
2016Q3,Arizona,20.44759,6936.039
2016Q4,Arizona,20.19751,6963.271
2017Q1,Arizona,19.70384,6990.095
2017Q2,Arizona,18.96706,7016.27
2017Q3,Arizona,20.94937,7044.335
2017Q4,Arizona,22.47587,7073.921
2018Q1,Arizona,24.72701,7105.754
2018Q2,Arizona,25.5844,7138.44
2018Q3,Arizona,26.45292,7171.991
2018Q4,Arizona,28.25088,7207.338
2019Q1,Arizona,28.14341,7242.574
2019Q2,Arizona,28.21798,7277.875
2019Q3,Arizona,28.50794,7313.455
2019Q4,Arizona,28.43247,7348.948
2020Q1,Arizona,28.67167,7384.663
2020Q2,Arizona,28.57205,7420.262
2020Q3,Arizona,28.6647,7455.938
1990Q1,Arkansas,-0.008805918,2352.658447
1990Q2,Arkansas,1.144003749,2356.586
1990Q3,Arkansas,2.533974648,2361.90332
1990Q4,Arkansas,3.667278,2368.354736
1991Q1,Arkansas,4.458789,2375.561523
1991Q2,Arkansas,4.91099,2383.144
1991Q3,Arkansas,5.082803,2390.82251
1991Q4,Arkansas,5.369499,2398.712646
1992Q1,Arkansas,5.876746,2407.02832
1992Q2,Arkansas,6.604801,2415.984
1992Q3,Arkansas,7.449925,2425.697266
1992Q4,Arkansas,8.024859,2435.898682
1993Q1,Arkansas,8.239789,2446.222656
1993Q2,Arkansas,8.094573,2456.303
1993Q3,Arkansas,7.693171501,2465.885254
1993Q4,Arkansas,7.48484,2475.162354
1994Q1,Arkansas,7.474283,2484.438721
1994Q2,Arkansas,7.653788,2494.019
1994Q3,Arkansas,8.043681,2504.112793
1994Q4,Arkansas,8.2652,2514.550293
1995Q1,Arkansas,8.292965,2525.067
1995Q2,Arkansas,8.13245,2535.399
1995Q3,Arkansas,7.747323,2545.320557
1995Q4,Arkansas,7.294230461,2554.764648
1996Q1,Arkansas,6.781446,2563.703369
1996Q2,Arkansas,6.207561,2572.109
1996Q3,Arkansas,5.625552654,2579.973
1996Q4,Arkansas,5.113598,2587.365
1997Q1,Arkansas,4.706256,2594.374512
1997Q2,Arkansas,4.404809475,2601.09
1997Q3,Arkansas,4.184769,2607.593262
1997Q4,Arkansas,4.01392746,2613.93335
1998Q1,Arkansas,3.881336,2620.151367
1998Q2,Arkansas,3.786836,2626.289
1998Q3,Arkansas,3.74964,2632.403
1998Q4,Arkansas,3.831655264,2638.613
1999Q1,Arkansas,4.076834679,2645.053711
1999Q2,Arkansas,4.487143517,2651.86
1999Q3,Arkansas,4.925175,2659.06
1999Q4,Arkansas,4.96241951,2666.253
2000Q1,Arkansas,4.485046387,2672.931396
2000Q2,Arkansas,3.492730379,2678.588
2000Q3,Arkansas,2.159905195,2682.882813
2000Q4,Arkansas,1.157694578,2686.146
2001Q1,Arkansas,0.611876547,2688.876
2001Q2,Arkansas,0.5194915,2691.571
2001Q3,Arkansas,0.8312398,2694.634521
2001Q4,Arkansas,1.170267463,2698.093506
2002Q1,Arkansas,1.4634974,2701.88
2002Q2,Arkansas,1.71273458,2705.927
2002Q3,Arkansas,1.917746,2710.189
2002Q4,Arkansas,2.168125391,2714.712
2003Q1,Arkansas,2.525418,2719.565
2003Q2,Arkansas,2.992242336,2724.816
2003Q3,Arkansas,3.503452539,2730.510742
2003Q4,Arkansas,3.967078686,2736.601318
2004Q1,Arkansas,4.241979,2743.016602
2004Q2,Arkansas,4.322949409,2749.686
2004Q3,Arkansas,4.55223465,2756.756
2004Q4,Arkansas,4.807467,2764.251709
2005Q1,Arkansas,5.301947,2772.318
2005Q2,Arkansas,6.039411545,2781.097
2005Q3,Arkansas,15.09622,2798.909
2005Q4,Arkansas,5.176042,2806.776
2006Q1,Arkansas,4.859215,2814.475
2006Q2,Arkansas,4.113703,2821.761
2006Q3,Arkansas,4.113893,2829.377
2006Q4,Arkansas,2.910941,2836.118
2007Q1,Arkansas,2.312228,2842.406
2007Q2,Arkansas,2.322477,2848.65
2007Q3,Arkansas,2.671728,2855.188
2007Q4,Arkansas,2.849689,2861.851
2008Q1,Arkansas,2.829744,2868.39
2008Q2,Arkansas,2.611027,2874.554
2008Q3,Arkansas,2.272736,2880.222
2008Q4,Arkansas,2.125215,2885.588
2009Q1,Arkansas,2.304235,2891.01
2009Q2,Arkansas,2.80688,2896.843
2009Q3,Arkansas,3.431374,2903.05
2009Q4,Arkansas,3.753169,2909.504
2010Q1,Arkansas,3.737236,2915.851
2010Q2,Arkansas,3.384185,2921.737
2010Q3,Arkansas,2.754508,2926.887
2010Q4,Arkansas,2.164673,2931.342
2011Q1,Arkansas,1.627844,2935.22
2011Q2,Arkansas,1.138974,2938.64
2011Q3,Arkansas,0.7548855,2941.707
2011Q4,Arkansas,0.4189197,2944.468
2012Q1,Arkansas,0.2238347,2946.957
2012Q2,Arkansas,0.1743601,2949.208
2012Q3,Arkansas,0.1608797,2951.259
2012Q4,Arkansas,0.2012799,2953.166
2013Q1,Arkansas,0.1406572,2954.986
2013Q2,Arkansas,-0.0328167,2956.78
2013Q3,Arkansas,-0.1474763,2958.605
2013Q4,Arkansas,-0.2070328,2960.516
2014Q1,Arkansas,-0.0942523,2962.563
2014Q2,Arkansas,0.1997615,2964.8
2014Q3,Arkansas,0.5290832,2967.262
2014Q4,Arkansas,0.8264288,2969.919
2015Q1,Arkansas,0.9998588,2972.722
2015Q2,Arkansas,1.043629,2975.626
2015Q3,Arkansas,1.054571,2978.597
2015Q4,Arkansas,1.092291,2981.661
2016Q1,Arkansas,1.203,2984.859
2016Q2,Arkansas,1.388138,2988.231
2016Q3,Arkansas,1.61404,2991.819
2016Q4,Arkansas,1.880338,2995.662
2017Q1,Arkansas,2.187414,2999.802
2017Q2,Arkansas,2.535208,3004.279
2017Q3,Arkansas,2.15494,3008.339
2017Q4,Arkansas,1.625458,3011.832
2018Q1,Arkansas,1.055648,3014.718
2018Q2,Arkansas,0.9571127,3017.469
2018Q3,Arkansas,0.7519152,3019.978
2018Q4,Arkansas,0.8098059,3022.508
2019Q1,Arkansas,0.7692135,3024.96
2019Q2,Arkansas,0.719354,3027.325
2019Q3,Arkansas,0.6781435,3029.608
2019Q4,Arkansas,0.6388412,3031.813
2020Q1,Arkansas,0.5915729,3033.931
2020Q2,Arkansas,0.5373559,3035.952
2020Q3,Arkansas,0.4978723,3037.893
1990Q1,California,91.7459,29793.90234
1990Q2,California,72.33892,29959.51563
1990Q3,California,48.4209,30102.6
1990Q4,California,30.81524658,30229.47656
1991Q1,California,22.82123,30349.17773
1991Q2,California,24.48607,30470.73633
1991Q3,California,32.36252594,30600.35
1991Q4,California,35.07526779,30732.86719
1992Q1,California,30.89974594,30860.3
1992Q2,California,19.88448715,30974.66
1992Q3,California,2.951749,31070.04
1992Q4,California,-11.57449722,31148.87
1993Q1,California,-22.17302322,31215.66406
1993Q2,California,-28.89531,31274.92773
1993Q3,California,-31.78471375,31330.51
1993Q4,California,-33.48071671,31383.6
1994Q1,California,-34.45302,31434.73438
1994Q2,California,-34.69362259,31484.43555
1994Q3,California,-34.14878464,31533.5
1994Q4,California,-31.74993706,31583.79297
1995Q1,California,-27.19026375,31637.44336
1995Q2,California,-20.47504,31696.58203
1995Q3,California,-11.82685566,31763.15234
1995Q4,California,-1.968638301,31838.36719
1996Q1,California,8.5998,31923.25195
1996Q2,California,19.86423,32018.83398
1996Q3,California,31.48365,32125.47266
1996Q4,California,40.79397583,32240.86
1997Q1,California,47.19426,32362.03
1997Q2,California,50.68507,32486.01
1997Q3,California,51.7752,32610.40625
1997Q4,California,52.7889,32735.14648
1998Q1,California,54.04994,32860.73438
1998Q2,California,55.53697,32987.67578
1998Q3,California,57.21374,33116.16406
1998Q4,California,57.84535,33245.15625
1999Q1,California,57.08724,33373.29
1999Q2,California,54.93649,33499.20313
